OUTLET,COUNTRY,REGION,OWNERSHIP,LINK,STATUS,PARSER_FILE
El Periódico,España,Europa,Privado,https://www.elperiodico.com/es/rss/,QWERY,ASDF
Noticias ONU Español,Internacional,Global,Público,https://news.un.org/es/feed/qa.xml,QWERY,ASDF
El Financiero,México,América Latina,Privado,https://www.elfinanciero.com.mx/rss/,QWERY,ASDF
Telesur Noticias,Internacional,Latinoamérica,Público,https://www.telesurtv.net/rss.xml,QWERY,ASDF
Prensa Latina Internacional,Internacional,Global,Público,https://www.prensa-latina.cu/rss/,QWERY,ASDF
DW News Español,Alemania,Europa,Público,https://rss.dw.com/xml/DW-Noticias-S?format=rss,QWERY,ASDF
France24 América Latina,Francia,Europa,Público,https://www.france24.com/es/rss/,QWERY,ASDF
Revista Semana,Colombia,América Latina,Privado,https://www.semana.com/rss/,QWERY,ASDF
La Nueva España,España,Europa,Privado,https://www.lne.es/rss/,QWERY,ASDF
HispanTV Irán,MENA,MENA,Público,https://www.hispantv.com/rss,QWERY,ASDF
Asia News,Múltiple - Asia,Asia,Privado,https://www.asianews.it/rss-feed,QWERY,ASDF
Oceanía Noticias,Oceanía,Oceanía,Privado,https://oceanianoticias.com/rss/,QWERY,ASDF
Radio Australia en Español,Australia,Oceanía,Público,https://www.radioaustralia.net.au/rss/,QWERY,ASDF
Xinhua Español,China,Asia,Público,https://www.xinhuanet.com/english/rss/worldrss.xml,QWERY,ASDF
China Daily Español,China,Asia,Público,https://spanish.chinadaily.com.cn/rss.xml,QWERY,ASDF
CCTV Español,China,Asia,Público,https://www.cgtn.com/rss/esp.xml,QWERY,ASDF
Al Mayadeen Español,Líbano,MENA,Privado,https://es.almayadeen.net/rss,QWERY,ASDF
Middle East Eye Español,MENA,MENA,Privado,https://www.middleeasteye.net/es/rss,QWERY,ASDF
Gulf News Español,EAU,MENA,Privado,https://gulfnews.com/rss/section/spain,QWERY,ASDF
Arab News Español,Arabia Saudita,MENA,Privado,https://arabnews.com/rss/espanol,QWERY,ASDF
Maghreb Spanish News,Marruecos,MENA,Privado,https://maghrebspanishnews.com/rss,QWERY,ASDF
Sahel Post Español,Múltiple - Sahel,África,Privado,https://sahelpost.com/rss-espanol,QWERY,ASDF
Sahel Times Español,Múltiple - Sahel,África,Público,https://saheltimes.com/rss-es,QWERY,ASDF
Africa News Español,Múltiple - África,África,Privado,https://www.africanews.com/rss-feed/?lang=es,QWERY,ASDF
Global Times Español,China,Asia,Privado,https://www.globaltimes.cn/RSS/GT-esp.xml,QWERY,ASDF
CGTN América Latina,China,Asia,Público,https://america.cgtn.com/rss/esp.xml,QWERY,ASDF
Al Jazeera Español,Qatar,MENA,Público,https://www.aljazeera.com/xml/rss/all.xml,QWERY,ASDF
Kuwait News Agency Español,Kuwait,MENA,Público,https://www.kuna.net.kw/rss_feed_es,QWERY,ASDF
Sudáfrica Hoy Español, Sudáfrica,África,Privado,https://sudafricahoy.com/rss,QWERY,ASDF
Agence Ecofin Español,Múltiple - África Occidental,África,Público,https://www.agenceecofin.com/rss/esp,QWERY,ASDF
Radio Francia Internacional (RFI) África en Español,África,África,Público,https://www.rfi.fr/es/rss/,QWERY,ASDF
Vietnam News Español,Vietnam,ASEAN,Público,https://vnanet.vn/rss/espanol,QWERY,ASDF
The Jakarta Post Español,Indonesia,ASEAN,Privado,https://www.thejakartapost.com/rss/espanol,QWERY,ASDF
Philippine News Español,Filipinas,ASEAN,Privado,https://philippinenews.com/rss/espanol,QWERY,ASDF
Malaysia Kini Español,Malasia,ASEAN,Privado,https://malaysiakini.com/rss/espanol,QWERY,ASDF
Bangkok Post Español,Tailandia,ASEAN,Privado,https://bangkokpost.com/rss/espanol,QWERY,ASDF
Singapore News Español,Singapur,ASEAN,Privado,https://singaporenews.com/rss/espanol,QWERY,ASDF
Myanmar Times Español,Myanmar,ASEAN,Privado,https://myanmartimes.com/rss/espanol,QWERY,ASDF
La Jornada,México,América Latina,Privado,https://www.jornada.com.mx/rss/,QWERY,ASDF
El País,España,Europa,Privado,https://elpais.com/rss/,QWERY,ASDF
